OBJECT_TYPE;TABLE_CATALOG;TABLE_SCHEMA;OBJECT_NAME;DATA_AREA;OBJECT_TYPE;DESCRIPTION;BUSINESS_OWNER_PERSON;BUSINESS_OWNER_DEPARTMENT;DATA_SME;ACTIVE_FLAG;SQL_SAMPLES
TABLE;MO;dbo;L0000__COMMON_LOG;DATAPLATFORM;WORK;Til overvågning af de daglige flows logges alle fejl og kørselsinfo i denne tabel;;;;1;
TABLE;MO;dbo;L0000__CONTROLS;DATAPLATFORM;SKAL SLETTES;;;;;1;
TABLE;MO;dbo;L0000__CONTROLS_OLD;DATAPLATFORM;SKAL SLETTES;;;;;1;
TABLE;MO;dbo;L0000__LOAD_INFO;DATAPLATFORM;WORK;Tabel til håndtering af daglige flows, hvor versions id er nødvendigt;;;;1;
TABLE;MO;dbo;L0000__LOAD_SCHEDULER;DATAPLATFORM;WORK;Tabel til håndtering af daglige flows;;;;1;
VIEW;MO;dbo;L0000__OBJ_HIERARCHY_V;DATAPLATFORM;WORK;Anvendes til at gennemgå alle SQL objekter for hardcode værdier f.eks 2026-V1 investeringstruktur;;;;1;
TABLE;MO;dbo;L0000_DVR_ROLLER;MASTERDATA;WORK;Data fra DVR_Roller skives i denne tabel;;;;1;
VIEW;MO;dbo;L0000_DVR_ROLLER_V;MASTERDATA;PRESENTATION;Udstilling af DVR roller fordelt pr. uge ;;;;1;
TABLE;MO;dbo;L0000_FX_RATES;MASTERDATA;PRESENTATION;Udstilling af valutakurser og forskellige kryds;;;;1;
TABLE;MO;dbo;L0000_MD_COUNTRY;MASTERDATA;PRESENTATION;Udstilling af landestamdata;;;;1;
TABLE;MO;dbo;L0000_MD_GICS_CODES;MASTERDATA;PRESENTATION;Udstilling af GICS industri kode stamdata ;;;;1;
TABLE;MO;dbo;L0000_MD_INVESTERINGER;MASTERDATA;PRESENTATION;Udstilling af investeringsstamdata på SECID.    Beskrivelser, Administrator, forvalter, prismetode;;;;1;
TABLE;MO;dbo;L0000_MD_KALENDER;MASTERDATA;PRESENTATION;Udstilling af kalender infomation, bankdage etc.;;;;1;
TABLE;MO;dbo;L0000_MD_KASSER;MASTERDATA;PRESENTATION;Udstilling af stamdata vedrørende PKA pensionskasser;;;;1;
TABLE;MO;dbo;L0000_MD_MODEL_PORTFOLIO;MASTERDATA;PRESENTATION;Udstilling af stamdata vedrørende model porteføljer;;;;1;
TABLE;MO;dbo;L0000_MD_MODEL_PORTFOLIO_FULL_PERF_STRUCTURE;MASTERDATA;OLD;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0000_MD_MODEL_PORTFOLIO_OLD;MASTERDATA;OLD;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0000_MD_NACE_CODES;MASTERDATA;PRESENTATION;Udstilling af stamdata vedr. nacekoder;;;;1;
TABLE;MO;dbo;L0000_MD_NACE_TO_GICS;MASTERDATA;PRESENTATION;Mapping mellem NACE til GICS koder;;;;1;
TABLE;MO;dbo;L0000_MD_PERFORMANCE_NODE;MASTERDATA;PRESENTATION;Udstilling af performance node stamdata. Link til performance i SCD, Rap struktur, Risicomapping etc.;;;;1;
TABLE;MO;dbo;L0000_MD_TRIGGERLIMITS_Test;MASTERDATA;PRESENTATION;SKAL UDSØGES NÆRMERE. Afvender tilbagemelding fra Esben;;;;1;
VIEW;MO;dbo;L0000_PERFORMANCE_NODE_RAP_V;PERFORMANCE;WORK;Anvendes til at beregne total niveauer (Level1, Level2, Level3 og level4 udfra [L0000_MD_PERFORMANCE_NODE];;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_AUM_PAL_PAYABLE;PERFORMANCE;WORK;Anvendes til at udstille skyldig PAL på latest og fixed til ultimo dataset.  Denne tabel anvendes af risiko i deres RISIKO model;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_LOAD_DATA_010_RAW;PERFORMANCE;WORK;Anvendes til indlæsning af det daglig RAP flow;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_LOAD_DATA_015_RAW_HIST;PERFORMANCE;WORK;Anvendes til indlæsning af det daglig RAP flow;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_LOAD_DATA_020_LENS;PERFORMANCE;WORK;Anvendes til indlæsning af det daglig RAP flow;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_LOAD_DATA_030_TRS_ALLOCATION_CONFIG;PERFORMANCE;WORK;Anvendes til indlæsning af det daglig RAP flow;;;;1;
